E/U      E/W      A/U      A/W
6        6        6        6
3        3.51474  3        2.99846
3.55556  3.38584  3.55556  3.5722
3.375    3.17849  3        3.00488
2.48     2.71951  2.48     2.48547
2.38889  2.64998  2.66667  2.68067
2.57143  2.60545  2.57143  2.5774
2.375    2.47486  2.65625  2.65976
2.51852  2.55757  2.32099  2.32028
2.44     2.4995   2.66     2.66077
2.5124   2.55518  2.5124   2.51352
2.51389  2.52361  2.61111  2.6176
2.7929   2.66267  2.87574  2.88192
2.54082  2.53781  2.62245  2.62464
2.36444  2.44386  2.39111  2.39491
2.57031  2.51927  2.57031  2.58191
2.69204  2.56359  2.90657  2.92591
2.80864  2.62776  2.85802  2.87883
2.8144   2.6221   2.90859  2.92778
2.935    2.6603   2.925    2.9444
2.95692  2.67921  3.12925  3.14818
3.14876  2.75137  3.14876  3.1686
3.39509  2.85648  3.4518   3.4796
3.39583  2.88015  3.50694  3.53285
3.52     2.92273  3.4208   3.44561
3.67751  2.98523  3.61538  3.64434
3.77778  3.01664  3.82442  3.85675
3.97704  3.10541  3.91071  3.94728
3.93579  3.08482  4.09037  4.1305
3.95111  3.09195  4.03333  4.06836
4.14568  3.17026  4.16233  4.19839
4.23242  3.20485  4.24414  4.28371
4.29201  3.22757  4.50138  4.54653
4.34429  3.26927  4.44118  4.48539
4.36082  3.30224  4.39347  4.43559
4.40586  3.33567  4.3966   4.44048
4.47188  3.37021  4.43974  4.48633
4.37535  3.32525  4.54986  4.60097
4.30375  3.30609  4.49178  4.54232
4.2125   3.2736   4.48875  4.53649
4.30815  3.30244  4.50922  4.5579
4.36848  3.34586  4.53288  4.57904
4.39913  3.36164  4.54408  4.59071
4.37087  3.35801  4.65186  4.70377
4.42667  3.37594  4.62123  4.67266
4.45936  3.39868  4.68242  4.73629
4.5713   3.43893  4.76415  4.82038
4.67535  3.48112  4.8342   4.89372
4.68222  3.4892   4.81383  4.87174
4.8024   3.53472  4.82     4.87629
4.78201  3.54538  4.8143   4.87416
4.73151  3.53243  4.84541  4.90145
4.754    3.54215  4.87362  4.92665
4.68176  3.52035  4.79218  4.83989
4.64727  3.50846  4.80198  4.84831
4.57781  3.50021  4.79592  4.84334
4.57002  3.49429  4.69314  4.73851
4.54637  3.49131  4.63853  4.68228
4.53375  3.49158  4.61074  4.65315
4.54389  3.50136  4.64889  4.6925
4.58103  3.51615  4.63101  4.67235
4.58325  3.51878  4.63632  4.68143
4.58302  3.53471  4.56286  4.60634
4.5752   3.53328  4.53174  4.57309
4.64852  3.56023  4.57657  4.62081
4.72957  3.60113  4.63361  4.67893
4.67944  3.59762  4.5832   4.63051
4.66739  3.59349  4.61808  4.67196
4.71372  3.60824  4.60828  4.66262
4.71224  3.60239  4.70694  4.76695
4.659    3.59209  4.64233  4.7087
4.74498  3.62688  4.69753  4.76276
4.75699  3.62372  4.75511  4.82287
4.7385   3.62033  4.78853  4.8593
4.74524  3.62659  4.77547  4.84953
4.74515  3.63329  4.71711  4.79386
4.78833  3.65682  4.84466  4.92858
4.86226  3.68233  4.88231  4.97175
4.90562  3.69289  4.88415  4.96864
4.96188  3.72323  4.93531  5.02229
5.02789  3.74394  4.94041  5.02465
5.07912  3.76024  5.02677  5.11124
5.04369  3.75609  5.06227  5.14564
5.16355  3.80126  5.0822   5.16741
5.14602  3.80373  5.18948  5.28148
5.16441  3.80509  5.16495  5.25908
5.19065  3.82734  5.21522  5.31635
5.24225  3.85285  5.32748  5.43476
5.33645  3.88481  5.39099  5.5045
5.38765  3.90362  5.43407  5.552
5.47398  3.94114  5.43075  5.54954
5.45699  3.94333  5.43431  5.54924
5.50838  3.97334  5.46468  5.58361
5.57175  3.99776  5.51064  5.62983
5.56078  3.99363  5.49828  5.61394
5.60091  4.01575  5.52756  5.64783
5.6193   4.03309  5.52875  5.65062
5.60829  4.03236  5.52103  5.64145
5.6431   4.04692  5.60535  5.73122
